"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"20-Jan-2025","EQ","405.00","405.20","396.25","405.00","403.50","402.40","400.83","570.35","306.10","24,12,027","96,68,14,907.55","41,467"
"17-Jan-2025","EQ","397.90","409.45","396.70","397.50","406.00","405.00","404.62","570.35","306.10","29,06,979","1,17,62,33,940.20","37,777"
"16-Jan-2025","EQ","405.00","416.30","396.60","402.15","397.45","397.50","403.74","570.35","306.10","26,55,537","1,07,21,37,036.45","41,495"
"15-Jan-2025","EQ","412.95","415.00","401.30","411.25","403.00","402.15","406.21","570.35","306.10","24,52,398","99,61,84,631.00","36,757"
"14-Jan-2025","EQ","407.90","416.70","406.15","406.15","411.50","411.25","411.91","570.35","306.10","40,99,788","1,68,87,47,209.90","39,183"
"13-Jan-2025","EQ","408.10","412.95","400.00","412.80","406.95","406.15","405.48","570.35","306.10","36,96,494","1,49,88,55,489.45","46,053"
"10-Jan-2025","EQ","424.90","432.25","408.65","419.50","412.05","412.80","416.92","570.35","306.10","55,82,271","2,32,73,34,583.15","67,426"
"09-Jan-2025","EQ","407.60","435.95","407.00","407.45","424.00","419.50","426.53","570.35","306.10","2,28,65,384","9,75,27,84,244.90","2,55,923"
"08-Jan-2025","EQ","429.00","429.00","406.00","430.75","408.40","407.45","411.61","570.35","306.10","45,91,994","1,89,01,28,517.10","73,948"
"07-Jan-2025","EQ","430.00","433.75","419.65","424.15","430.00","430.75","427.84","570.35","306.10","45,72,328","1,95,62,09,339.70","47,772"
"06-Jan-2025","EQ","440.95","442.50","419.05","441.35","425.00","424.15","426.90","570.35","306.10","31,34,274","1,33,80,35,758.70","52,915"
"03-Jan-2025","EQ","428.00","453.40","423.40","425.70","441.60","441.35","441.32","570.35","306.10","99,61,631","4,39,62,98,082.25","1,19,902"
"02-Jan-2025","EQ","411.05","432.00","411.05","410.30","430.00","425.70","420.59","570.35","306.10","43,33,385","1,82,25,96,937.60","49,986"
"01-Jan-2025","EQ","415.90","415.90","408.05","415.65","409.75","410.30","411.16","570.35","306.10","10,95,471","45,04,10,128.45","21,738"
