Date,Series,Open,High,Low,Prev. close,Ltp,Close,Vwap,52w h,52w l,Volume,Value,No of trades
01-Jan-2025,EQ,138.1,138.45,136.58,138.05,136.87,136.74,137.06,184.6,128.2,18169498,2490238878.67,167193
31-Dec-2024,EQ,136.87,138.68,136.56,136.88,138.1,138.05,137.63,184.6,128.2,20080291,2763636940.24,184867
30-Dec-2024,EQ,138.91,139.25,136.09,138.91,137.5,136.88,137.76,184.6,128.2,32555723,4484971555.03,208126
27-Dec-2024,EQ,140.7,141.75,138.61,140.36,138.97,138.91,139.95,184.6,128.2,19562177,2737725744.49,167507
26-Dec-2024,EQ,140.95,141.15,139.51,140.38,140.6,140.36,140.24,184.6,128.2,23939932,3357275738.9,176823
24-Dec-2024,EQ,141.2,141.5,139.25,141.71,140.9,140.38,140.29,184.6,128.2,25882917,3631184790.95,220844
23-Dec-2024,EQ,142.45,143.8,140.61,140.68,141.81,141.71,142.37,184.6,128.2,27514178,3917066565.54,180882
20-Dec-2024,EQ,142.89,144.4,140.0,143.26,140.45,140.68,142.23,184.6,127.85,46503449,6614264006.51,239716
19-Dec-2024,EQ,141.55,143.8,141.1,144.46,143.14,143.26,142.36,184.6,127.85,27104579,3858497950.48,176879
18-Dec-2024,EQ,146.0,146.9,143.3,145.68,144.54,144.46,144.65,184.6,127.85,19850229,2871362747.44,170033
17-Dec-2024,EQ,147.79,148.5,145.33,147.79,145.65,145.68,146.89,184.6,127.85,27110781,3982433031.75,178654
16-Dec-2024,EQ,148.94,149.8,147.1,148.95,147.8,147.79,148.03,184.6,127.85,22634773,3350662277.23,134545
13-Dec-2024,EQ,150.0,150.05,145.55,150.78,148.8,148.95,147.45,184.6,127.85,39701388,5853797485.13,244523
12-Dec-2024,EQ,150.87,151.63,148.7,150.6,150.4,150.78,150.22,184.6,127.85,25761723,3870004937.04,210043
11-Dec-2024,EQ,150.59,152.11,150.06,150.32,150.65,150.6,151.24,184.6,127.85,20499709,3100314497.16,154183
10-Dec-2024,EQ,150.19,152.5,149.31,149.88,150.38,150.32,150.93,184.6,127.85,36278104,5475408272.35,198144
09-Dec-2024,EQ,148.29,150.67,146.63,148.29,149.7,149.88,148.72,184.6,127.85,39059139,5809031759.51,213740
06-Dec-2024,EQ,147.5,148.68,146.6,147.07,148.1,148.29,147.54,184.6,127.85,30604899,4515576192.18,152986
05-Dec-2024,EQ,146.5,147.88,144.8,145.85,147.11,147.07,146.48,184.6,127.85,36328245,5321183497.69,320660
04-Dec-2024,EQ,147.0,147.05,144.0,146.54,145.89,145.85,145.43,184.6,127.85,38537808,5604463660.25,293458
03-Dec-2024,EQ,146.75,148.2,146.34,146.41,146.6,146.54,146.87,184.6,127.85,35527228,5218028534.67,256795
02-Dec-2024,EQ,144.11,146.83,143.14,144.54,146.36,146.41,145.29,184.6,127.85,23840351,3463651919.14,178524
29-Nov-2024,EQ,143.9,145.49,143.05,143.39,144.45,144.54,144.47,184.6,126.0,29742979,4297099540.79,180493
28-Nov-2024,EQ,144.0,145.25,143.09,144.53,143.63,143.39,144.13,184.6,126.0,30947861,4460528750.48,267599
