Date,Series,Open,High,Low,Prev. close,Ltp,Close,Vwap,52w h,52w l,Volume,Value,No of trades
01-Jan-2025,EQ,181.7,183.6,181.55,182.28,183.2,183.03,182.72,250.69,152.05,283938,51881728.11,8278
31-Dec-2024,EQ,177.0,183.64,176.66,177.92,182.0,182.28,180.23,250.69,152.05,623612,112394115.33,17868
30-Dec-2024,EQ,179.71,183.4,177.2,179.71,178.49,177.92,180.47,250.69,152.05,797152,143863955.44,35235
27-Dec-2024,EQ,180.69,181.09,179.22,179.04,179.94,179.71,179.95,250.69,144.85,282958,50917253.01,7967
26-Dec-2024,EQ,180.74,182.36,178.29,179.99,179.95,179.04,180.09,250.69,144.85,385252,69379766.05,8567
24-Dec-2024,EQ,182.55,183.45,179.47,181.66,180.0,179.99,181.33,250.69,144.85,355013,64374530.79,9234
23-Dec-2024,EQ,184.2,185.79,180.0,184.34,182.0,181.66,182.25,250.69,144.85,610158,111202072.66,18706
20-Dec-2024,EQ,189.25,192.04,183.03,191.28,184.05,184.34,186.63,250.69,138.0,716269,133679749.12,14919
19-Dec-2024,EQ,188.3,192.7,187.45,191.91,190.8,191.28,190.95,250.69,138.0,891443,170222400.45,21710
18-Dec-2024,EQ,190.71,192.2,189.6,191.61,192.0,191.91,191.54,250.69,138.0,846996,162234501.41,21281
17-Dec-2024,EQ,191.39,192.6,189.32,190.67,191.49,191.61,191.11,250.69,138.0,894253,170899685.93,21190
16-Dec-2024,EQ,193.5,194.39,190.0,193.5,190.96,190.67,191.53,250.69,138.0,718598,137633177.55,12120
13-Dec-2024,EQ,195.0,195.33,189.2,195.33,193.52,193.5,192.29,250.69,138.0,987642,189916127.57,24848
12-Dec-2024,EQ,196.77,197.68,193.64,196.3,195.6,195.33,195.51,250.69,138.0,1680781,328608379.64,26632
11-Dec-2024,EQ,190.9,197.0,190.41,189.79,196.0,196.3,194.29,250.69,138.0,1362696,264760669.75,19890
10-Dec-2024,EQ,193.3,196.3,189.01,193.16,190.4,189.79,190.87,250.69,138.0,1824569,348262988.33,22937
09-Dec-2024,EQ,192.8,194.8,190.86,193.27,193.3,193.16,193.01,250.69,138.0,880063,169859448.92,18726
06-Dec-2024,EQ,192.0,194.0,190.32,191.34,193.79,193.27,192.71,250.69,138.0,895995,172665671.27,18720
05-Dec-2024,EQ,195.34,195.7,190.5,195.5,191.22,191.34,192.14,250.69,138.0,1076370,206815112.43,26470
04-Dec-2024,EQ,199.69,199.69,194.26,198.69,195.2,195.5,196.27,250.69,138.0,945548,185586557.85,22409
03-Dec-2024,EQ,188.0,203.0,187.41,187.53,198.7,198.69,198.49,250.69,138.0,6036706,1198238551.68,77750
02-Dec-2024,EQ,187.6,188.21,185.13,187.57,187.51,187.53,186.91,250.69,138.0,448731,83870544.39,9871
29-Nov-2024,EQ,185.8,189.0,183.6,185.12,187.0,187.57,186.41,250.69,137.2,769189,143381299.73,14765
28-Nov-2024,EQ,182.55,187.05,182.55,183.6,185.45,185.12,185.81,250.69,137.2,1090952,202712099.3,23121
27-Nov-2024,EQ,181.21,186.5,181.0,181.5,184.0,183.6,184.02,250.69,137.2,1092835,201107176.65,16245
26-Nov-2024,EQ,178.0,183.65,178.0,179.51,181.21,181.5,181.66,250.69,137.2,755386,137220994.48,14363
25-Nov-2024,EQ,181.0,181.91,177.01,178.95,178.8,179.51,179.54,250.69,137.2,2018454,362388672.62,34647
22-Nov-2024,EQ,168.0,179.9,168.0,168.26,177.94,178.95,175.82,250.69,134.6,2872189,504994439.25,46182
21-Nov-2024,EQ,172.75,173.2,167.2,173.45,168.6,168.26,169.11,250.69,134.6,1179725,199505505.51,26699
19-Nov-2024,EQ,172.7,178.03,172.05,175.65,172.75,173.45,175.57,250.69,134.6,910243,159811491.69,14791
18-Nov-2024,EQ,176.99,179.93,174.0,175.56,176.44,175.65,176.33,250.69,134.6,978458,172535335.87,16866
14-Nov-2024,EQ,175.99,181.5,175.0,175.51,176.62,175.56,177.75,250.69,134.6,940163,167117602.91,24833
13-Nov-2024,EQ,179.1,182.21,174.0,179.28,174.29,175.51,178.03,250.69,134.6,1343633,239205192.24,29917
