Date,Series,Open,High,Low,Prev. close,Ltp,Close,Vwap,52w h,52w l,Volume,Value,No of trades
20-Jan-2025,EQ,405.0,405.2,396.25,405.0,403.5,402.4,400.83,570.35,306.1,2412027,966814907.55,41467
17-Jan-2025,EQ,397.9,409.45,396.7,397.5,406.0,405.0,404.62,570.35,306.1,2906979,1176233940.20,37777
16-Jan-2025,EQ,405.0,416.3,396.6,402.15,397.45,397.5,403.74,570.35,306.1,2655537,1072137036.45,41495
15-Jan-2025,EQ,412.95,415.0,401.3,411.25,403.0,402.15,406.21,570.35,306.1,2452398,996184631.00,36757
14-Jan-2025,EQ,407.9,416.7,406.15,406.15,411.5,411.25,411.91,570.35,306.1,4099788,1688747209.90,39183
13-Jan-2025,EQ,408.1,412.95,400.0,412.8,406.95,406.15,405.48,570.35,306.1,3696494,1498855489.45,46053
10-Jan-2025,EQ,424.9,432.25,408.65,419.5,412.05,412.8,416.92,570.35,306.1,5582271,2327334583.15,67426
09-Jan-2025,EQ,407.6,435.95,407.0,407.45,424.0,419.5,426.53,570.35,306.1,22865384,9752784244.90,255923
08-Jan-2025,EQ,429.0,429.0,406.0,430.75,408.4,407.45,411.61,570.35,306.1,4591994,1890128517.10,73948
07-Jan-2025,EQ,430.0,433.75,419.65,424.15,430.0,430.75,427.84,570.35,306.1,4572328,1956209339.70,47772
06-Jan-2025,EQ,440.95,442.5,419.05,441.35,425.0,424.15,426.9,570.35,306.1,3134274,1338035758.70,52915
03-Jan-2025,EQ,428.0,453.4,423.4,425.7,441.6,441.35,441.32,570.35,306.1,9961631,4396298082.25,119902
02-Jan-2025,EQ,411.05,432.0,411.05,410.3,430.0,425.7,420.59,570.35,306.1,4333385,1822596937.60,49986
01-Jan-2025,EQ,415.9,415.9,408.05,415.65,409.75,410.3,411.16,570.35,306.1,1095471,450410128.45,21738
31-Dec-2024,EQ,408.0,417.7,401.45,407.3,415.0,415.65,411.09,570.35,306.1,4287712,1762616126.30,48307
30-Dec-2024,EQ,390.2,410.05,389.1,390.1,407.8,407.3,400.51,570.35,306.1,5416437,2169356564.30,67628
27-Dec-2024,EQ,391.7,393.75,388.5,390.5,390.2,390.1,390.68,570.35,306.1,1511040,590340478.00,25206
26-Dec-2024,EQ,399.0,405.0,389.5,397.35,390.95,390.5,396.63,570.35,306.1,3741597,1484017011.00,43066
24-Dec-2024,EQ,391.6,406.95,391.6,390.1,396.2,397.35,400.4,570.35,306.1,9934284,3977678334.85,94892
23-Dec-2024,EQ,380.0,396.1,377.35,388.3,390.25,390.1,388.99,570.35,306.1,6594957,2565399247.35,71174
20-Dec-2024,EQ,390.05,395.5,384.1,389.85,385.0,388.3,389.9,570.35,306.1,4058988,1582595438.40,45094
19-Dec-2024,EQ,392.05,394.45,384.15,398.4,388.0,389.85,389.55,570.35,306.1,4797210,1868739200.20,66917
18-Dec-2024,EQ,382.05,401.9,378.25,381.35,401.9,398.4,392.99,570.35,306.1,11837739,4652140639.50,87704
17-Dec-2024,EQ,393.95,394.55,380.0,394.3,383.2,381.35,384.85,570.35,306.1,4169090,1604465935.50,48421
16-Dec-2024,EQ,394.75,399.85,389.75,392.2,394.0,394.3,395.97,570.35,306.1,4490416,1778081044.40,65457
13-Dec-2024,EQ,386.35,392.85,378.6,387.1,392.6,392.2,387.56,570.35,306.1,4269375,1654620355.40,57029
12-Dec-2024,EQ,392.95,395.2,384.35,392.8,386.9,387.1,387.69,570.35,306.1,2961822,1148279246.45,53406
11-Dec-2024,EQ,388.5,394.95,382.15,386.0,392.0,392.8,387.91,570.35,306.1,5916650,2295115082.20,65138
10-Dec-2024,EQ,389.0,394.3,385.0,385.55,386.85,386.0,388.54,570.35,306.1,7814225,3036144294.10,118954
09-Dec-2024,EQ,387.0,389.65,377.7,384.0,386.65,385.55,384.91,570.35,306.1,4426139,1703669652.85,72105
06-Dec-2024,EQ,387.0,389.9,382.6,383.45,383.7,384.0,385.96,570.35,306.1,8067105,3113594203.10,70728
05-Dec-2024,EQ,374.0,385.8,360.5,360.25,383.2,383.45,375.33,570.35,306.1,21600645,8107279007.50,184514
04-Dec-2024,EQ,361.0,365.95,355.6,361.25,360.2,360.25,360.03,570.35,306.1,3985267,1434800644.20,72033
03-Dec-2024,EQ,346.0,362.7,341.0,343.55,360.0,361.25,354.84,570.35,306.1,9223340,3272809668.55,108425
02-Dec-2024,EQ,330.0,344.65,326.3,327.05,343.2,343.55,338.67,570.35,306.1,7792673,2639152865.85,82931
29-Nov-2024,EQ,320.9,331.65,313.45,319.45,330.0,327.05,323.01,570.35,306.1,6475134,2091534524.75,62964
28-Nov-2024,EQ,320.5,324.6,317.8,319.5,319.1,319.45,319.86,570.35,306.1,3920248,1253927477.75,46490
27-Nov-2024,EQ,320.95,323.0,317.25,320.0,319.15,319.5,319.72,570.35,306.1,2429975,776919114.30,40232
26-Nov-2024,EQ,323.1,328.05,319.2,324.15,319.9,320.0,323.04,570.35,306.1,3662145,1183025086.25,56198
25-Nov-2024,EQ,319.1,326.0,317.15,312.65,323.8,324.15,322.84,570.35,306.1,6014776,1941837490.85,68725
22-Nov-2024,EQ,316.05,318.5,310.1,311.4,311.05,312.65,314.15,570.35,306.1,9643056,3029385033.45,111198
21-Nov-2024,EQ,320.45,320.6,306.1,320.45,313.3,311.4,311.17,570.35,306.1,9039218,2812752963.70,168840
19-Nov-2024,EQ,329.0,329.5,316.75,325.05,319.2,320.45,322.49,570.35,316.75,14810634,4776249561.65,215584
18-Nov-2024,EQ,370.0,373.1,323.1,405.8,325.3,325.05,333.15,570.35,323.1,47575269,15849531665.70,304250
14-Nov-2024,EQ,420.0,421.85,403.6,419.5,407.0,405.8,410.1,570.35,382.65,2738096,1122891242.95,60498
13-Nov-2024,EQ,424.3,427.85,417.4,427.3,422.0,419.5,420.89,570.35,382.65,5029555,2116883052.10,72777
12-Nov-2024,EQ,436.05,437.85,424.35,440.95,429.0,427.3,427.28,570.35,382.65,3500647,1495755702.30,62162
11-Nov-2024,EQ,442.15,445.55,437.2,442.35,439.9,440.95,440.68,570.35,382.65,2918325,1286038726.00,52538
08-Nov-2024,EQ,436.95,445.2,433.55,436.8,443.5,442.35,439.75,570.35,382.65,3433842,1510029226.75,77666
07-Nov-2024,EQ,433.0,442.9,430.8,431.85,437.0,436.8,437.8,570.35,382.65,2149816,941197120.75,49308
06-Nov-2024,EQ,423.0,432.75,421.15,420.55,432.05,431.85,428.29,570.35,382.65,1861448,797245944.55,48096
05-Nov-2024,EQ,414.0,422.85,409.7,412.6,422.0,420.55,415.7,570.35,382.65,1788913,743650717.25,61435
04-Nov-2024,EQ,423.0,423.3,409.35,421.7,413.0,412.6,413.79,570.35,382.65,1315800,544460381.00,37600
01-Nov-2024,EQ,424.7,424.8,420.5,420.15,421.4,421.7,421.99,570.35,375.7,178609,75371264.35,4714
31-Oct-2024,EQ,421.35,423.95,415.65,420.9,420.1,420.15,419.13,570.35,375.7,1993823,835673992.25,56804
30-Oct-2024,EQ,417.05,428.95,416.2,417.2,420.0,420.9,423.72,570.35,375.7,2206577,934979553.35,52179
29-Oct-2024,EQ,410.95,425.7,410.35,404.7,417.15,417.2,418.39,570.35,375.7,5642218,2360622987.80,77761
28-Oct-2024,EQ,415.85,417.0,403.5,413.55,404.15,404.7,408.5,570.35,375.7,1764945,720973548.60,56933
25-Oct-2024,EQ,428.35,431.2,409.9,428.35,414.7,413.55,415.14,570.35,375.7,1808138,750623565.60,42132
24-Oct-2024,EQ,435.0,436.4,426.55,433.15,428.0,428.35,430.72,570.35,375.7,1379052,593980510.90,32494
23-Oct-2024,EQ,433.0,437.0,429.05,433.05,431.95,433.15,433.61,570.35,375.7,2849812,1235700799.90,65677
22-Oct-2024,EQ,443.15,450.85,431.5,443.15,433.0,433.05,441.97,570.35,375.7,2745080,1213253324.85,84870
21-Oct-2024,EQ,455.6,462.0,440.7,451.7,442.0,443.15,445.95,570.35,375.7,2411406,1075369520.80,72771
18-Oct-2024,EQ,480.0,486.55,439.35,504.55,452.8,451.7,453.82,570.35,375.7,18330579,8318828942.00,217363
17-Oct-2024,EQ,518.0,518.55,502.0,518.55,502.5,504.55,510.02,570.35,375.7,1777516,906560519.90,46025
16-Oct-2024,EQ,524.2,525.45,513.1,524.65,519.0,518.55,518.46,570.35,375.7,1146069,594194957.80,37256
15-Oct-2024,EQ,518.9,527.95,516.0,518.0,524.2,524.65,522.41,570.35,375.7,1947320,1017293860.55,55523
14-Oct-2024,EQ,540.0,540.0,511.5,540.55,517.2,518.0,519.99,570.35,375.7,2818538,1465617411.95,81580
11-Oct-2024,EQ,540.9,542.0,534.05,540.9,538.85,540.55,537.21,570.35,375.7,1576334,846815826.40,34509
10-Oct-2024,EQ,533.9,542.0,533.9,532.5,540.0,540.9,538.08,570.35,375.7,2034738,1094843990.40,46962
09-Oct-2024,EQ,538.3,543.7,529.9,532.95,533.9,532.5,535.71,570.35,375.7,2109999,1130353379.35,57427
08-Oct-2024,EQ,537.5,549.2,530.8,542.15,535.9,532.95,538.97,570.35,375.7,2011777,1084295052.85,49179
07-Oct-2024,EQ,553.0,553.05,533.35,549.35,542.9,542.15,540.45,570.35,375.7,2927376,1582108877.10,51128
04-Oct-2024,EQ,554.3,555.8,544.45,554.3,548.45,549.35,549.63,570.35,375.7,1776842,976597587.80,33659
03-Oct-2024,EQ,543.0,560.8,543.0,558.4,553.2,554.3,552.95,570.35,375.7,2655279,1468240257.70,50061
01-Oct-2024,EQ,561.5,569.55,554.05,558.55,558.0,558.4,560.44,570.35,375.7,3744429,2098522645.75,81642
30-Sep-2024,EQ,549.0,560.35,544.3,549.5,558.0,558.55,555.11,570.35,375.7,1613001,895388147.50,44893
27-Sep-2024,EQ,548.95,556.0,547.5,548.9,550.0,549.5,551.36,570.35,375.7,1527692,842308454.40,43219
26-Sep-2024,EQ,549.3,550.85,539.6,549.55,549.9,548.9,544.54,570.35,375.7,1669285,908992849.25,39902
25-Sep-2024,EQ,549.35,558.5,546.15,550.15,547.85,549.55,551.98,570.35,375.7,2055307,1134484529.45,51930
24-Sep-2024,EQ,550.5,553.5,547.0,546.95,549.15,550.15,549.95,570.35,375.7,2282741,1255391711.35,49507
23-Sep-2024,EQ,538.55,548.15,534.0,538.9,547.0,546.95,543.15,570.35,375.7,1163966,632203746.30,41234
20-Sep-2024,EQ,541.0,543.05,530.35,542.6,536.45,538.9,536.14,570.35,375.7,2853876,1530088356.75,61684
19-Sep-2024,EQ,539.0,547.35,533.5,535.5,543.0,542.6,540.45,570.35,375.7,2310330,1248608000.80,50508
18-Sep-2024,EQ,547.95,553.8,533.05,548.1,535.0,535.5,542.38,570.35,375.7,3150517,1708787249.70,53529
17-Sep-2024,EQ,549.0,562.75,545.55,529.85,547.0,548.1,554.46,570.35,375.7,16618937,9214458681.70,253309
16-Sep-2024,EQ,518.0,531.25,517.15,517.15,530.9,529.85,526.94,570.35,375.7,3036959,1600310080.35,61730
13-Sep-2024,EQ,523.9,525.25,516.05,524.8,516.7,517.15,519.22,570.35,375.7,893118,463723610.30,27918
12-Sep-2024,EQ,530.0,532.4,521.5,527.85,524.95,524.8,525.32,570.35,375.7,649028,340947961.65,22585
11-Sep-2024,EQ,541.0,541.4,524.65,539.65,529.0,527.85,529.47,570.35,375.7,1193376,631853532.30,29522
10-Sep-2024,EQ,534.5,541.2,533.2,532.05,540.5,539.65,537.99,570.35,375.7,719321,386985617.30,25793
09-Sep-2024,EQ,538.55,545.0,526.2,542.35,532.65,532.05,533.93,570.35,375.7,1327106,708583836.35,33507
06-Sep-2024,EQ,556.6,561.8,535.55,556.0,542.25,542.35,546.56,570.35,375.7,2094524,1144791136.65,51434
05-Sep-2024,EQ,552.25,562.5,550.0,549.0,556.0,556.0,557.66,570.35,375.7,2760660,1539507199.40,51209
